Notes, Time, Trial, Target, Tgt_loc, Foil1, F1_loc, Foil2, F2_loc, Foil3, F3_loc,Foil4,F4_loc,Selected, RT, Correct, SampleMode, FoilType, FileType, noStartButton, disableFeedback, identicalImages, Comment
File: trial_2019_09_24_08_09_15.csv
Run: Sep 24 2019
config=Mattias_Config.txt
fixedDataFile=Matt1.csv

,8:09:16 PM,1,Raisin,1_0,Peanut,1_2,Dog,2_0,,,,,,,Raisin,0.899,true,MTS_SoundOnly,PIC,,0,0,0,
,8:09:21 PM,2,gogo,0_2,zeze,1_2,,,,,,,zeze,0.801,false,MTS_SoundOnly,PIC,,0,1,0,
,8:09:25 PM,3,Popsicle,0_1,Ear,1_0,Egg,1_2,,,,,,,Egg,1.301,false,MTS_SoundOnly,PIC,,0,0,0,
,8:09:29 PM,4,
