SamplePic,SampleSound,SampleMovie,r,c,Correct,r_1,c_1,Foil1,r_2,c_2,Foil2,r_3,c_3,Foil3,r_4,c_4,Foil4,r_5,c_5,SampleMode,Feedback,Correct_1,RT,Comment,filename,trial,correct,shape_combination,session,cont_trial,condition,test_shape
none,Apple.wav,none,0,0,Apple_01.jpg,3,1,Ball_01.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,NO,1553,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,20,0,Apple_01.jpg_Ball_01.jpg,1,20,regular,"NA"
none,Shirt.wav,none,0,0,Shirt_02.jpg,3,1,Key_02.jpg,2,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1478,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,21,1,Shirt_02.jpg_Key_02.jpg,1,21,regular,"NA"
none,lulu.wav,none,0,0,RSlide9.jpg,1,1,ESlide22.jpg,2,2,none,0,0,none,0,0,none,0,0,2,no,NO,1065,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,22,0,RSlide9.jpg_ESlide22.jpg,1,22,test,round
none,Toothbrush.wav,none,0,0,Toothbrush_02.jpg,2,1,Onion_02.jpg,1,3,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1462,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,23,1,Toothbrush_02.jpg_Onion_02.jpg,1,23,regular,"NA"
none,Apple.wav,none,0,0,Apple_02.jpg,1,3,Turtle_01.jpg,2,2,none,0,0,none,0,0,none,0,0,2,yes,NO,1437,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,24,0,Apple_02.jpg_Turtle_01.jpg,1,24,regular,"NA"
none,Onion.wav,none,0,0,Onion_02.jpg,1,3,Nyota_02.jpg,3,1,none,0,0,none,0,0,none,0,0,2,yes,NO,1994,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,25,0,Onion_02.jpg_Nyota_02.jpg,1,25,regular,"NA"
none,Cooler.wav,none,0,0,Cooler_01.jpg,2,1,Hand_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1006,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,26,1,Cooler_01.jpg_Hand_01.jpg,1,26,regular,"NA"
none,Stethoscope.wav,none,0,0,Stethoscope_02.jpg,1,3,Ice_01.jpg,3,2,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1594,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,27,1,Stethoscope_02.jpg_Ice_01.jpg,1,27,regular,"NA"
none,Maisha.wav,none,0,0,Maisha_01.jpg,2,3,Apple_01.jpg,1,2,none,0,0,none,0,0,none,0,0,2,yes,YES,2146,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,28,1,Maisha_01.jpg_Apple_01.jpg,1,28,regular,"NA"
none,Fish.wav,none,0,0,Fish_01.jpg,3,2,Kanzi_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES,1374,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,29,1,Fish_01.jpg_Kanzi_02.jpg,1,29,regular,"NA"
none,Spoon.wav,none,0,0,Spoon_02.jpg,2,2,Onion_01.jpg,3,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),1144,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,30,1,Spoon_02.jpg_Onion_01.jpg,1,30,regular,"NA"
none,Raisin.wav,none,0,0,Raisin_02.jpg,2,2,Cherries_01.jpg,3,3,none,0,0,none,0,0,none,0,0,2,yes,NO,2135,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,31,0,Raisin_02.jpg_Cherries_01.jpg,1,31,regular,"NA"
none,Tea.wav,none,0,0,Tea_02.jpg,2,3,Pear_01.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES,1343,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,32,1,Tea_02.jpg_Pear_01.jpg,1,32,regular,"NA"
none,Sweet Potato.wav,none,0,0,Sweet Potato_02.jpg,2,3,Egg_02.jpg,1,1,none,0,0,none,0,0,none,0,0,2,yes,YES (R),2460,SAMPLE MODE 2 - sound only,../Data/raw_data/Testing//MTS_2020_07_20_12_27_39.csv,33,1,Sweet Potato_02.jpg_Egg_02.jpg,1,33,regular,"NA"
